"topic","frequency","word"
"aiweiwei",133,"aiweiwei"
"aiweiwei",81,"aiww"
"aiweiwei",51,"art"
"aiweiwei",40,"greycrossstudio"
"aiweiwei",35,"aiweiweiart"
"aiweiwei",35,"amnestyhk"
"aiweiwei",35,"auction"
"aiweiwei",35,"bid"
"aiweiwei",35,"donating"
"aiweiwei",35,"happy"
"aiweiwei",35,"now"
"aiweiwei",35,"online"
"aiweiwei",35,"portrait"
"aiweiwei",35,"support"
"aiweiwei",34,"beygiant"
"aiweiwei",31,"artist"
"aiweiwei",17,"amnesty"
"aiweiwei",17,"auctin"
"aiweiwei",17,"hng"
"aiweiwei",17,"internatinal"
"aiweiwei",17,"kng"
"aiweiwei",17,"prtrait"
"aiweiwei",15,"aiweiweis"
"aiweiwei",12,"vanbiennale"
"aiweiwei",10,"visit"
"feminism",3343,"feminism"
"feminism",636,"women"
"feminism",347,"feminist"
"feminism",266,"amp"
"feminism",248,"men"
"isis",5306,"isis"
"isis",806,"syria"
"isis",609,"amp"
"isis",588,"islam"
"isis",487,"isil"
"isis",414,"fight"
"isis",409,"will"
"isis",407,"petertownsend"
"isis",379,"mosul"
"isis",352,"iraq"
"isis",314,"pjnet"
"isis",289,"daesh"
"isis",260,"islamicstate"
"isis",256,"cpac"
"isis",248,"tcot"
"isis",240,"trump"
"isis",238,"bannon"
"isis",233,"forces"
"isis",224,"hey"
"isis",221,"taliban"
"isis",211,"iraqi"
"isis",209,"back"
"isis",209,"michaelharrisdr"
"isis",209,"themeemstreams"
"isis",203,"america"
"isis",201,"https"
"isis",200,"take"
"panda",19177,"panda"
"panda",8667,"take"
"panda",8596,"loves"
"panda",8571,"random"
"panda",8561,"selfies"
"panda",2935,"gtgt"
"panda",1470,"people"
"panda",1211,"bao"
"panda",891,"express"
"panda",824,"china"
"panda",655,"want"
"panda",648,"via"
"panda",576,"thanks"
"panda",574,"red"
"panda",571,"just"
"panda",564,"one"
"panda",548,"love"
"panda",540,"bored"
"panda",508,"now"
"panda",482,"like"
"panda",480,"new"
"panda",476,"youtube"
"panda",461,"fufuu"
"panda",454,"video"
"panda",453,"amp"
"panda",448,"pandaglobalpg"
"panda",447,"switch"
"panda",445,"nintendo"
"twochildpolicy",50,"policy"
"twochildpolicy",33,"child"
"twochildpolicy",28,"chinas"
"twochildpolicy",27,"two"
"twochildpolicy",19,"babies"
"twochildpolicy",19,"twochild"
"twochildpolicy",18,"year"
"twochildpolicy",13,"china"
"twochildpolicy",13,"enough"
"twochildpolicy",13,"population"
"twochildpolicy",12,"largest"
"twochildpolicy",12,"worlds"
"twochildpolicy",11,"new"
"twochildpolicy",9,"reshaping"
"twochildpolicy",8,"future"
"twochildpolicy",7,"another"
"twochildpolicy",7,"boost"
"twochildpolicy",7,"chinese"
"twochildpolicy",7,"credited"
"twochildpolicy",7,"impact"
"twochildpolicy",7,"last"
"twochildpolicy",7,"one"
"twochildpolicy",7,"starting"
"twochildpolicy",6,"per"
"twochildpolicy",6,"possible"
"twochildpolicy",5,"trtworld"
"twochildpolicy",4,"adamrsweet"
"twochildpolicy",4,"clause"
"twochildpolicy",4,"rape"
"twochildpolicy",3,"countrys"
"twochildpolicy",3,"father"
"twochildpolicy",3,"forced"
"twochildpolicy",3,"four"
"twochildpolicy",3,"issue"
"twochildpolicy",3,"news"
"twochildpolicy",3,"now"
"twochildpolicy",3,"post"
"twochildpolicy",3,"read"
"twochildpolicy",3,"vasectomy"
"twochildpolicy",3,"violating"
"twochildpolicy",3,"wondering"
"twochildpolicy",3,"years"
"twochildpolicy",2,"alisonthewliss"
"twochildpolicy",2,"amp"
"twochildpolicy",2,"australian"
"twochildpolicy",2,"authorities"
"twochildpolicy",2,"cash"
"twochildpolicy",2,"cbn"
"twochildpolicy",2,"clinics"
"twochildpolicy",2,"cnvey"
"twochildpolicy",2,"counts"
"twochildpolicy",2,"couples"
"twochildpolicy",2,"every"
"twochildpolicy",2,"fertility"
"twochildpolicy",2,"financial"
"twochildpolicy",2,"fly"
"twochildpolicy",2,"government"
"twochildpolicy",2,"ivf"
"twochildpolicy",2,"mull"
"twochildpolicy",2,"people"
"twochildpolicy",2,"prohibited"
"twochildpolicy",2,"rewards"
"twochildpolicy",2,"second"
"twochildpolicy",2,"tcot"
"twochildpolicy",2,"treatment"
"twochildpolicy",2,"via"
"twochildpolicy",2,"women"
"twochildpolicy",2,"zen"
"twochildpolicy",1,"added"
"twochildpolicy",1,"adopt"
"twochildpolicy",1,"allgiven"
"twochildpolicy",1,"arbitrary"
"twochildpolicy",1,"bernardsalt"
"twochildpolicy",1,"best"
"twochildpolicy",1,"call"
"twochildpolicy",1,"cared"
"twochildpolicy",1,"cbnnews"
"twochildpolicy",1,"children"
"twochildpolicy",1,"chinamedicine"
"twochildpolicy",1,"chinasuafuture"
"twochildpolicy",1,"chinaus"
"twochildpolicy",1,"closer"
"twochildpolicy",1,"commonsworkpen"
"twochildpolicy",1,"cruel"
"twochildpolicy",1,"curb"
"twochildpolicy",1,"debate"
"twochildpolicy",1,"decisions"
"twochildpolicy",1,"encourage"
"twochildpolicy",1,"end"
"twochildpolicy",1,"even"
"twochildpolicy",1,"family"
"twochildpolicy",1,"forakin"
"twochildpolicy",1,"friendships"
"twochildpolicy",1,"god"
"twochildpolicy",1,"grew"
"twochildpolicy",1,"growing"
"twochildpolicy",1,"gsemiotics"
"twochildpolicy",1,"gumball"
"twochildpolicy",1,"happened"
"twochildpolicy",1,"home"
"twochildpolicy",1,"icmdanet"
"twochildpolicy",1,"inquiry"
"twochildpolicy",1,"introduce"
"twochildpolicy",1,"introduced"
"twochildpolicy",1,"know"
"twochildpolicy",1,"lampshaded"
"twochildpolicy",1,"lenniejarratt"
"twochildpolicy",1,"littlebytesnews"
"twochildpolicy",1,"losers"
"twochildpolicy",1,"make"
"twochildpolicy",1,"many"
